TableName,TableDesc,ColumnName,ColumnDesc,ColumnType,IsPK,IsFK,FK
ADMISSIONS,The ADMISSIONS table gives information regarding a patient’s admission to the hospital.,SUBJECT_ID,The ADMISSIONS table can be linked to the PATIENTS table using SUBJECT_ID,INTEGER,NO,YES,"[PATIENTS, SUBJECT_ID]"
ADMISSIONS,The ADMISSIONS table gives information regarding a patient’s admission to the hospital.,HADM_ID,"Each row of this table contains a unique HADM_ID, which represents a single patient’s admission to the hospital. HADM_ID ranges from 1000000 - 1999999.",INTEGER,YES,NO,
ADMISSIONS,The ADMISSIONS table gives information regarding a patient’s admission to the hospital.,ADMITTIME,provides the date and time the patient was admitted to the hospital,TIMESTAMP,NO,NO,
ADMISSIONS,The ADMISSIONS table gives information regarding a patient’s admission to the hospital.,DISCHTIME,provides the date and time the patient was discharged from the hospital,TIMESTAMP,NO,NO,
ADMISSIONS,The ADMISSIONS table gives information regarding a patient’s admission to the hospital.,DEATHTIME,"If applicable, DEATHTIME provides the time of in-hospital death for the patient. Note that DEATHTIME is only present if the patient died in-hospital, and is almost always the same as the patient’s DISCHTIME",TIMESTAMP,NO,NO,
ADMISSIONS,The ADMISSIONS table gives information regarding a patient’s admission to the hospital.,ADMISSION_TYPE,describes the type of the admission,STRING,NO,NO,
ADMISSIONS,The ADMISSIONS table gives information regarding a patient’s admission to the hospital.,ADMISSION_LOCATION,provides information about the previous location of the patient prior to arriving at the hospital,STRING,NO,NO,
ADMISSIONS,The ADMISSIONS table gives information regarding a patient’s admission to the hospital.,DISCHARGE_LOCATION,,STRING,NO,NO,
ADMISSIONS,The ADMISSIONS table gives information regarding a patient’s admission to the hospital.,INSURANCE,describe patient demographics.,STRING,NO,NO,
ADMISSIONS,The ADMISSIONS table gives information regarding a patient’s admission to the hospital.,LANGUAGE,describe patient demographics.,STRING,NO,NO,
ADMISSIONS,The ADMISSIONS table gives information regarding a patient’s admission to the hospital.,RELIGION,describe patient demographics.,STRING,NO,NO,
ADMISSIONS,The ADMISSIONS table gives information regarding a patient’s admission to the hospital.,MARITAL_STATUS,describe patient demographics.,STRING,NO,NO,
ADMISSIONS,The ADMISSIONS table gives information regarding a patient’s admission to the hospital.,ETHNICITY,describe patient demographics.,STRING,NO,NO,
ADMISSIONS,The ADMISSIONS table gives information regarding a patient’s admission to the hospital.,EDREGTIME,Time that the patient was registered from the emergency department,TIMESTAMP,NO,NO,
ADMISSIONS,The ADMISSIONS table gives information regarding a patient’s admission to the hospital.,EDOUTTIME,Time that the patient was discharged from the emergency department,TIMESTAMP,NO,NO,
ADMISSIONS,The ADMISSIONS table gives information regarding a patient’s admission to the hospital.,DIAGNOSIS,"The DIAGNOSIS column provides a preliminary, free text diagnosis for the patient on hospital admission",STRING,NO,NO,
ADMISSIONS,The ADMISSIONS table gives information regarding a patient’s admission to the hospital.,HOSPITAL_EXPIRE_FLAG,This indicates whether the patient died within the given hospitalization,INTEGER,NO,NO,
ADMISSIONS,The ADMISSIONS table gives information regarding a patient’s admission to the hospital.,HAS_CHARTEVENTS_DATA,,INTEGER,NO,NO,
CALLOUT,Information regarding when a patient was cleared for ICU discharge and when the patient was actually discharged.,SUBJECT_ID,patient corresponding to the given call out event,INTEGER,NO,YES,"[ADMISSIONS, SUBJECT_ID]"
CALLOUT,Information regarding when a patient was cleared for ICU discharge and when the patient was actually discharged.,HADM_ID,hospital admission corresponding to the given call out event,INTEGER,YES,YES,"[ADMISSIONS, HADM_ID]"
