SRC_ENT,SRC_ATT,TGT_ENT,TGT_ATT
ADMISSIONS,SUBJECT_ID,VISIT_OCCURRENCE,person_id
ADMISSIONS,HADM_ID,VISIT_OCCURRENCE,visit_occurrence_id
ADMISSIONS,ADMITTIME,VISIT_OCCURRENCE,visit_start_datetime
ADMISSIONS,DISCHTIME,VISIT_OCCURRENCE,visit_end_datetime
ADMISSIONS,DEATHTIME,NA,NA
ADMISSIONS,ADMISSION_TYPE,VISIT_OCCURRENCE,visit_type_concept_id
ADMISSIONS,ADMISSION_LOCATION,VISIT_OCCURRENCE,admitted_from_source_value
ADMISSIONS,DISCHARGE_LOCATION,VISIT_OCCURRENCE,discharge_to_concept_id
ADMISSIONS,INSURANCE,NA,NA
ADMISSIONS,LANGUAGE,NA,NA
ADMISSIONS,RELIGION,NA,NA
ADMISSIONS,MARITAL_STATUS,NA,NA
ADMISSIONS,ETHNICITY,PERSON,ethnicity_concept_id
ADMISSIONS,EDREGTIME,NA,NA
ADMISSIONS,EDOUTTIME,NA,NA
ADMISSIONS,DIAGNOSIS,NA,NA
ADMISSIONS,HOSPITAL_EXPIRE_FLAG,NA,NA
ADMISSIONS,HAS_CHARTEVENTS_DATA,NA,NA
CALLOUT,SUBJECT_ID,VISIT_DETAIL,person_id
CALLOUT,HADM_ID,VISIT_DETAIL,visit_occurrence_id
CALLOUT,SUBMIT_WARDID,VISIT_DETAIL,care_site_id
CALLOUT,SUBMIT_CAREUNIT,VISIT_DETAIL,visit_detail_concept_id
CALLOUT,CURR_WARDID,VISIT_DETAIL,admitted_from_concept_id
CALLOUT,CURR_CAREUNIT,NA,NA
CALLOUT,CALLOUT_WARDID,NA,NA
CALLOUT,CALLOUT_SERVICE,NA,NA
CALLOUT,REQUEST_TELE,NA,NA
CALLOUT,REQUEST_RESP,NA,NA
CALLOUT,REQUEST_CDIFF,NA,NA
CALLOUT,REQUEST_MRSA,NA,NA
CALLOUT,REQUEST_VRE,NA,NA
CALLOUT,CALLOUT_STATUS,NA,NA
CALLOUT,CALLOUT_OUTCOME,NA,NA
CALLOUT,DISCHARGE_WARDID,VISIT_DETAIL,discharge_to_source_value
CALLOUT,ACKNOWLEDGE_STATUS,NA,NA
CALLOUT,CREATETIME,NA,NA
CALLOUT,UPDATETIME,NA,NA
CALLOUT,ACKNOWLEDGETIME,NA,NA
CALLOUT,OUTCOMETIME,VISIT_DETAIL,visit_detail_start_datetime
CALLOUT,FIRSTRESERVATIONTIME,NA,NA
CALLOUT,CURRENTRESERVATIONTIME,NA,NA
